Image,Price
AJAX_TURQUOISE_RING_3_FRONT,204
AJAX_TURQUOISE_RING_3_RIGHT,204
BLUE_GEM_AND_MEDITERRANEAN_CORAL_RING_1_FRONT,2700
BOULDER_TURQUOISE_RING_1_BACK,174
BOULDER_TURQUOISE_RING_1_FRONT,174
BOULDER_TURQUOISE_RING_1_LEFT,174
BOULDER_TURQUOISE_RING_2_BACK,149.95
BOULDER_TURQUOISE_RING_2_FRONT,149.95
BOULDER_TURQUOISE_RING_2_RIGHT,149.95
CARICO_LAKE_RING_1_FRONT,630
CARICO_LAKE_RING_1_LEFT,630
CARICO_LAKE_RING_1_SIDE,630
CARICO_LAKE_TURQUOISE_RING_1_FRONT,690
CARICO_LAKE_TURQUOISE_RING_1_LEFT,690
CARICO_LAKE_TURQUOISE_RING_1_SIDE,690
EMERALD_VALLEY_TURQUOISE_RING_1_BACK,139.95
EMERALD_VALLEY_TURQUOISE_RING_1_FRONT,139.95
EMERALD_VALLEY_TURQUOISE_RING_1_LEFT,139.95
FOX_TURQUOISE_RING_1_FRONT,950
FOX_TURQUOISE_RING_1_LEFT,950
FOX_TURQUOISE_RING_1_SIDE,950
GOLDEN_HILLS_RING_1_BACK,595
GOLDEN_HILLS_RING_1_FRONT,595
GOLDEN_HILLS_RING_1_LEFT,595
GOLDEN_HILLS_TURQUOISE_RING_1_BACK,450
GOLDEN_HILLS_TURQUOISE_RING_1_FRONT,450
GOLDEN_HILLS_TURQUOISE_RING_1_LEFT,450
GOLDEN_HILLS_TURQUOISE_RING_1_RIGHT,450
KINGMAN_TURQUOISE_RING_1_BACK,795
KINGMAN_TURQUOISE_RING_1_FRONT,795
KINGMAN_TURQUOISE_RING_1_RIGHT,795
KINGMAN_TURQUOISE_RING_2_FRONT,195
KINGMAN_TURQUOISE_RING_2_RIGHT,159
KINGMAN_TURQUOISE_RING_3_FRONT,399
KINGMAN_TURQUOISE_RING_3_LEFT,399
KINGMAN_TURQUOISE_RING_4_BACK,299
KINGMAN_TURQUOISE_RING_4_FRONT,299
KINGMAN_TURQUOISE_RING_4_LEFT,299
KINGMAN_TURQUOISE_RING_5_BACK,199
KINGMAN_TURQUOISE_RING_5_FRONT,199
KINGMAN_TURQUOISE_RING_5_RIGHT,199
KINGMAN_TURQUOISE_RING_6_FRONT,225
KINGMAN_TURQUOISE_RING_6_RIGHT,225
LAPIS_RING_1_FRONT,180
LAPIS_RING_1_LEFT,180
LAPIS_RING_1_RIGHT,180
LAPIS_RING_2_BACK,124
LAPIS_RING_2_FRONT,124
LAPIS_RING_2_LEFT,124
LONE_MOUNTAIN_TURQUOISE_RING_1_FRONT,495
LONE_MOUNTAIN_TURQUOISE_RING_1_RIGHT,495
MEDITERRANEAN_CORAL_&_TURQUOISE_RING_1_BACK,450
MEDITERRANEAN_CORAL_&_TURQUOISE_RING_1_FRONT,450
MEDITERRANEAN_CORAL_&_TURQUOISE_RING_1_LEFT,450
MEDITERRANEAN_CORAL_RING_1_BACK,1800
MEDITERRANEAN_CORAL_RING_1_FRONT,1800
MEDITERRANEAN_CORAL_RING_1_LEFT,1800
MEDITERRANEAN_CORAL_RING_1_RIGHT,1800
RING_1_BACK,750
RING_1_FRONT,750
RING_1_RIGHT,750
RING_2_FRONT,349
RING_2_LEFT,349
RING_2_RIGHT,349
ROYSTON_RING_1_BACK,297
ROYSTON_RING_1_FRONT,297
ROYSTON_RING_1_LEFT,297
ROYSTON_RING_1_RIGHT,297
ROYSTON_TURQUOISE_RING_1_FRONT,498
ROYSTON_TURQUOISE_RING_1_LEFT,498
ROYSTON_TURQUOISE_RING_2_BACK,495
ROYSTON_TURQUOISE_RING_2_FRONT,495
ROYSTON_TURQUOISE_RING_3_BACK,690
ROYSTON_TURQUOISE_RING_3_FRONT,690
ROYSTON_TURQUOISE_RING_3_LEFT,690
ROYSTON_TURQUOISE_RING_3_SIDE,690
SANORAN_GOLD_RING_1_FRONT,1100
SANORAN_GOLD_RING_1_LEFT,1100
SLEEPING_BEAUTY_RING_1_BACK,290
SLEEPING_BEAUTY_RING_1_FRONT,290
SLEEPING_BEAUTY_RING_1_LEFT,290
SLEEPING_BEAUTY_RING_1_RIGHT,290
SLEEPING_BEAUTY_RING_2_BACK,1290
SLEEPING_BEAUTY_RING_2_FRONT,1290
SLEEPING_BEAUTY_RING_2_LEFT,1290
SLEEPING_BEAUTY_TURQUOISE_RING_1_FRONT,220
SLEEPING_BEAUTY_TURQUOISE_RING_1_LEFT,220
SONORAN_TURQUOISE_RING_1_BACK,690
SONORAN_TURQUOISE_RING_1_FRONT,690
SONORAN_TURQUOISE_RING_2_BACK,585
SONORAN_TURQUOISE_RING_2_FRONT,585
SONORAN_TURQUOISE_RING_2_LEFT,585
SONORAN_TURQUOISE_RING_2_SIDE,585
SONORAN_TURQUOISE_RING_3_FRONT,99
SONORAN_TURQUOISE_RING_3_RIGHT,99
SPIDERWEB_KINGMAN_TURQUOISE_RING_1_BACK,795
SPIDERWEB_KINGMAN_TURQUOISE_RING_1_FRONT,795
SPIDERWEB_KINGMAN_TURQUOISE_RING_1_RIGHT,795
SPINY_OYSTER_RING_1_FRONT,119
SPINY_OYSTER_RING_1_LEFT,119
SPINY_OYSTER_RING_1_RIGHT,119
SPINY_OYSTER_RING_2_BACK,260
SPINY_OYSTER_RING_2_FRONT,260
SPINY_OYSTER_RING_2_LEFT,260
SPINY_OYSTER_RING_2_RIGHT,260
SPINY_OYSTER_RING_3_FRONT,139
SPINY_OYSTER_RING_3_RIGHT,139
SPINY_OYSTER_RING_3_SIDE,139
SPINY_OYSTER_RING_4_BACK,144
SPINY_OYSTER_RING_4_FRONT,144
SPINY_OYSTER_RING_4_LEFT,144
STERLING_SILVER_RING_1_FRONT,260
STERLING_SILVER_RING_1_LEFT,260
STERLING_SILVER_RING_1_RIGHT,260
TUFA_CAST_STONE_RING_1_FRONT,198
TUFA_CAST_STONE_RING_1_LEFT,198
TUFA_CAST_STONE_RING_1_RIGHT,198
TURQUOISE_RING_10_BACK,360
TURQUOISE_RING_10_FRONT,360
TURQUOISE_RING_10_RIGHT,360
TURQUOISE_RING_11_BACK,225
TURQUOISE_RING_11_FRONT,225
TURQUOISE_RING_11_LEFT,225
TURQUOISE_RING_11_RIGHT,225
TURQUOISE_RING_1_FRONT,260
TURQUOISE_RING_1_LEFT,260
TURQUOISE_RING_1_RIGHT,260
TURQUOISE_RING_2_FRONT,79
TURQUOISE_RING_2_LEFT,79
TURQUOISE_RING_2_RIGHT,79
TURQUOISE_RING_3_FRONT,269
TURQUOISE_RING_3_LEFT,269
TURQUOISE_RING_3_RIGHT,269
TURQUOISE_RING_4_BACK,780
TURQUOISE_RING_4_FRONT,780
TURQUOISE_RING_4_LEFT,780
TURQUOISE_RING_4_RIGHT,780
TURQUOISE_RING_5_BACK,229
TURQUOISE_RING_5_FRONT,229
TURQUOISE_RING_5_LEFT,229
TURQUOISE_RING_5_RIGHT,229
TURQUOISE_RING_6_BACK,99
TURQUOISE_RING_6_FRONT,99
TURQUOISE_RING_6_RIGHT,99
TURQUOISE_RING_7_BACK,175
TURQUOISE_RING_7_FRONT,175
TURQUOISE_RING_7_LEFT,175
TURQUOISE_RING_8_BACK,225
TURQUOISE_RING_8_FRONT,225
TURQUOISE_RING_8_LEFT,225
TURQUOISE_RING_9_BACK,365
TURQUOISE_RING_9_FRONT,365
TURQUOISE_RING_9_RIGHT,365
WHITE_BUFFALO_RING_1_FRONT,92
WHITE_BUFFALO_RING_1_LEFT,92
WHITE_BUFFALO_RING_1_RIGHT,92
WHITE_BUFFALO_RING_2_BACK,398
WHITE_BUFFALO_RING_2_FRONT,398
ZUNI_TURQUOISE_RING_1_BACK,330
ZUNI_TURQUOISE_RING_1_FRONT,330
ZUNI_TURQUOISE_RING_1_RIGHT,330
